painting	paintingLabel	depictedLabels	depicteds	Genre
http://www.wikidata.org/entity/Q17331264	Lazarus and the rich man	Lazarus of Bethany	http://www.wikidata.org/entity/Q539890	Religion
http://www.wikidata.org/entity/Q17334317	Adoration of the Magi	Child Jesus	http://www.wikidata.org/entity/Q942467	Religion
http://www.wikidata.org/entity/Q17320091	Mary Magdalene	Mary Magdalene	http://www.wikidata.org/entity/Q63070	Religion
http://www.wikidata.org/entity/Q17505564	Salome	woman@smile@curtain@long hair@Salome@fur@ring@décolletage@carpet@tray@mule@bracelet@sitting@black hair@chest@poignard@skirt@marquetry@drapery@see-through clothing@akimbo	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q487@http://www.wikidata.org/entity/Q49005@http://www.wikidata.org/entity/Q14130@http://www.wikidata.org/entity/Q228896@http://www.wikidata.org/entity/Q197204@http://www.wikidata.org/entity/Q46847@http://www.wikidata.org/entity/Q116887@http://www.wikidata.org/entity/Q163446@http://www.wikidata.org/entity/Q613972@http://www.wikidata.org/entity/Q735150@http://www.wikidata.org/entity/Q201664@http://www.wikidata.org/entity/Q1144593@http://www.wikidata.org/entity/Q1922956@http://www.wikidata.org/entity/Q366134@http://www.wikidata.org/entity/Q2100658@http://www.wikidata.org/entity/Q2160801@http://www.wikidata.org/entity/Q1049923@http://www.wikidata.org/entity/Q3039121@http://www.wikidata.org/entity/Q7445455@http://www.wikidata.org/entity/Q16002303	Religion
http://www.wikidata.org/entity/Q17335351	The Tree of Jesse	Jesus@Virgin Mary@book@house@tree@tower@David@wall@rosary@nun@harp@peafowl@angel@sceptre@robe@hortus conclusus@Isai@Salomon	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q571@http://www.wikidata.org/entity/Q3947@http://www.wikidata.org/entity/Q10884@http://www.wikidata.org/entity/Q12518@http://www.wikidata.org/entity/Q41370@http://www.wikidata.org/entity/Q42948@http://www.wikidata.org/entity/Q132539@http://www.wikidata.org/entity/Q191808@http://www.wikidata.org/entity/Q47369@http://www.wikidata.org/entity/Q201251@http://www.wikidata.org/entity/Q235113@http://www.wikidata.org/entity/Q152065@http://www.wikidata.org/entity/Q345127@http://www.wikidata.org/entity/Q1630273@http://www.wikidata.org/entity/Q4203608@http://www.wikidata.org/entity/Q867643	Religion
http://www.wikidata.org/entity/Q10366854	The Holy Family with Saint Elizabeth and Saint John	Jesus@Virgin Mary@John the Baptist@Joseph@Saint Anne	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q40662@http://www.wikidata.org/entity/Q128267@http://www.wikidata.org/entity/Q164294	Religion
http://www.wikidata.org/entity/Q3178035	Young Saint with a Sword	sword@Paul@saint@balustrade	http://www.wikidata.org/entity/Q12791@http://www.wikidata.org/entity/Q9200@http://www.wikidata.org/entity/Q43115@http://www.wikidata.org/entity/Q789783	Religion
http://www.wikidata.org/entity/Q472799	Mary Untier of Knots	woman@Virgin Mary@angel	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q235113	Religion
http://www.wikidata.org/entity/Q3155079	Isabella of Portugal with Saint Elisabeth	tree@book@hill@necklace@Isabella of Portugal, Duchess of Burgundy@Elizabeth of Hungary@crown	http://www.wikidata.org/entity/Q10884@http://www.wikidata.org/entity/Q571@http://www.wikidata.org/entity/Q54050@http://www.wikidata.org/entity/Q189299@http://www.wikidata.org/entity/Q466268@http://www.wikidata.org/entity/Q159862@http://www.wikidata.org/entity/Q170984	Religion
http://www.wikidata.org/entity/Q2622161	Saint George and the Dragon	horse@sky@man@dragon@tower@Saint George@broad-leaved tree@rural area@aureola@prayer@dress@sword@spear@damsel in distress@kneeling@body armor@combat	http://www.wikidata.org/entity/Q726@http://www.wikidata.org/entity/Q527@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q7559@http://www.wikidata.org/entity/Q12518@http://www.wikidata.org/entity/Q48438@http://www.wikidata.org/entity/Q148993@http://www.wikidata.org/entity/Q175185@http://www.wikidata.org/entity/Q374192@http://www.wikidata.org/entity/Q40953@http://www.wikidata.org/entity/Q200539@http://www.wikidata.org/entity/Q12791@http://www.wikidata.org/entity/Q44475@http://www.wikidata.org/entity/Q2293837@http://www.wikidata.org/entity/Q8866546@http://www.wikidata.org/entity/Q485027@http://www.wikidata.org/entity/Q650711	Religion
